server              avg(ms)     min(ms)     max(ms)     stddev(ms)  lost(%)  ttl        flags                  response
-----------------------------------------------------------------------------------------------------------------------
210.5.56.145        45.182      28.781      140.064     33.696      %0       3600       QR -- -- RD RA -- --   NOERROR
223.6.6.6           14.074      11.789      20.059      2.448       %0       1          QR AA -- RD RA -- --   NOERROR
202.46.34.74        0.000       0.000       0.000       0.000       %100     N/A        -- -- -- -- -- -- --   No Response
202.46.34.76        146.371     111.218     391.447     86.510      %0       3599       QR -- -- RD RA -- --   NOERROR
114.114.115.119     61.278      56.422      72.416      4.276       %0       78         QR -- -- RD RA -- --   NOERROR
114.114.114.114     77.383      58.151      221.629     50.718      %0       77         QR -- -- RD RA -- --   NOERROR
114.114.115.115     74.665      52.722      208.840     47.330      %0       76         QR -- -- RD RA -- --   NOERROR
202.46.33.250       357.492     119.155     1918.150    553.861     %0       749        QR -- -- RD RA -- --   NOERROR
103.251.105.188     0.000       0.000       0.000       0.000       %100     N/A        -- -- -- -- -- -- --   No Response
1.12.13.53          0.000       0.000       0.000       0.000       %100     N/A        -- -- -- -- -- -- --   No Response
121.4.4.41          0.000       0.000       0.000       0.000       %100     N/A        -- -- -- -- -- -- --   No Response
103.144.53.209      0.000       0.000       0.000       0.000       %100     N/A        -- -- -- -- -- -- --   No Response
