server,avg,min,max,stddev,lost,ttl,response
175.45.0.14,185.687,143.967,249.069,34.887,%0,3228,NOERROR
203.186.107.46,195.447,152.778,235.944,31.628,%0,3249,NOERROR
139.5.203.83,195.467,131.957,305.737,55.926,%0,3581,NOERROR
103.51.144.212,197.676,135.682,367.764,69.833,%0,2990,NOERROR
183.178.15.74,199.265,130.023,257.049,38.890,%0,3228,NOERROR
61.244.16.37,213.450,102.038,427.013,104.705,%0,3241,NOERROR
103.246.161.78,214.647,116.745,350.870,83.290,%0,3240,NOERROR
202.77.35.41,219.966,148.949,323.114,46.240,%0,2755,NOERROR
111.68.6.234,221.249,170.055,321.966,42.550,%0,3600,NOERROR
103.142.147.14,221.611,118.837,556.373,125.339,%0,2433,NOERROR
118.140.228.62,236.673,236.673,236.673,0.000,%50,3049,NOERROR
210.87.253.61,250.805,137.917,347.907,68.173,%0,3285,NOERROR
202.82.66.142,252.323,147.933,344.338,70.307,%0,3220,NOERROR
203.83.75.19,252.807,175.205,359.554,58.786,%0,N/A,SERVFAIL
61.244.186.189,253.719,102.969,654.963,187.175,%0,2947,NOERROR
1.64.199.40,254.008,141.981,412.067,69.403,%0,10,NOERROR
103.143.29.68,254.182,135.095,584.894,124.378,%0,1620,NOERROR
203.83.75.18,254.392,192.199,314.368,50.267,%20,N/A,SERVFAIL
116.92.184.177,255.842,157.910,400.213,84.544,%0,2510,NOERROR
210.87.253.35,255.931,164.859,389.903,73.281,%0,3285,NOERROR
210.87.250.156,260.753,169.169,413.942,71.310,%0,3253,NOERROR
116.92.184.137,261.065,174.628,398.646,90.732,%0,3224,NOERROR
59.152.206.146,263.072,263.072,263.072,0.000,%50,3249,NOERROR
59.188.10.22,263.878,162.680,522.985,105.107,%0,2912,NOERROR
175.45.59.150,264.376,156.825,633.501,157.739,%0,283,NOERROR
103.51.144.216,267.074,181.523,607.732,135.196,%0,2984,NOERROR
103.87.243.149,267.113,153.636,359.160,70.893,%0,3203,NOERROR
117.18.114.24,267.190,196.334,349.543,50.769,%0,3267,NOERROR
218.253.232.19,267.294,157.102,383.183,71.092,%0,507,NOERROR
202.126.222.2,267.354,234.847,301.255,20.269,%0,3246,NOERROR
210.17.195.71,268.612,176.845,364.827,63.956,%0,3128,NOERROR
175.45.59.152,272.926,114.280,933.284,240.830,%0,528,NOERROR
61.244.186.188,273.988,99.035,490.874,125.399,%0,801,NOERROR
203.198.62.23,274.221,225.486,330.548,52.941,%25,3219,NOERROR
103.246.244.143,274.427,145.183,699.892,160.288,%0,3214,NOERROR
202.181.233.180,274.453,132.175,626.192,135.345,%0,2902,NOERROR
117.18.119.42,277.479,191.010,372.764,58.684,%0,3153,NOERROR
202.181.233.243,288.559,144.344,1035.206,269.543,%0,3598,NOERROR
103.26.120.114,295.544,189.909,377.142,68.219,%0,3239,NOERROR
101.32.12.169,298.212,164.574,552.694,139.083,%0,3279,NOERROR
223.255.176.195,299.344,233.988,407.009,49.745,%0,2908,NOERROR
210.87.250.107,299.551,179.108,696.078,148.217,%0,3159,NOERROR
23.102.236.129,302.870,183.881,516.947,100.302,%0,3195,NOERROR
59.152.238.147,308.472,144.742,948.001,234.296,%0,3186,NOERROR
203.198.7.66,308.977,206.834,406.164,71.629,%0,3277,NOERROR
128.1.137.203,309.120,196.961,625.278,154.511,%0,28,NOERROR
202.82.148.186,310.474,202.183,816.188,180.948,%0,3249,NOERROR
59.152.214.132,312.062,207.826,498.089,83.344,%0,601,NOERROR
5.181.4.151,314.816,147.291,673.386,182.374,%0,3162,NOERROR
58.177.179.58,316.129,135.353,1291.886,344.936,%0,2886,NOERROR
59.152.235.163,317.253,175.060,653.761,165.520,%0,3187,NOERROR
202.77.35.42,317.966,139.109,763.138,175.032,%0,2752,NOERROR
154.212.129.20,318.978,122.472,805.848,201.237,%0,2943,NOERROR
59.148.249.214,320.030,234.201,503.499,84.051,%0,3135,NOERROR
